pseudoID,course_data,course_num,year,quarter_num,quarter_text,section
A11070370042,20171-30130-01,30130,2017,1,Winter,01
A11070370042,20171-35200-02,35200,2017,1,Winter,02
A11070370042,20171-38103-02,38103,2017,1,Winter,02
A11408314912,20164-30000-04,30000,2016,4,Autumn,04
A11408314912,20164-33001-06,33001,2016,4,Autumn,06
A11408314912,20164-41000-02,41000,2016,4,Autumn,02
A11408314912,20171-37000-02,37000,2017,1,Winter,02
A11408314912,20171-38103-01,38103,2017,1,Winter,01
A11408314912,20171-40000-81,40000,2017,1,Winter,81
A11408314912,20171-42001-03,42001,2017,1,Winter,03
A116783337336,20164-30000-04,30000,2016,4,Autumn,04
A116783337336,20164-33002-01,33002,2016,4,Autumn,01
A116783337336,20164-42001-01,42001,2016,4,Autumn,01
A116783337336,20171-33503-02,33503,2017,1,Winter,02
A116783337336,20171-37100-01,37100,2017,1,Winter,01
A116783337336,20171-41100-01,41100,2017,1,Winter,01
A117493901168,20164-30000-07,30000,2016,4,Autumn,07
A117493901168,20164-33002-01,33002,2016,4,Autumn,01
A117493901168,20164-34705-01,34705,2016,4,Autumn,01
A117493901168,20164-41100-04,41100,2016,4,Autumn,04
A117493901168,20171-37000-02,37000,2017,1,Winter,02
A117493901168,20171-38103-03,38103,2017,1,Winter,03
A117493901168,20171-40000-02,40000,2017,1,Winter,02
A119763337102,20164-30000-08,30000,2016,4,Autumn,08
A119763337102,20164-33001-05,33001,2016,4,Autumn,05
A119763337102,20164-41000-01,41000,2016,4,Autumn,01
A119763337102,20171-37000-02,37000,2017,1,Winter,02
A119763337102,20171-40000-01,40000,2017,1,Winter,01
A119763337102,20171-41100-01,41100,2017,1,Winter,01
A1210923840121,20164-33001-01,33001,2016,4,Autumn,01
A1210923840121,20164-37000-04,37000,2016,4,Autumn,04
A1210923840121,20164-42001-03,42001,2016,4,Autumn,03
A1210923840121,20171-30000-01,30000,2017,1,Winter,01
A1210923840121,20171-38103-03,38103,2017,1,Winter,03
A1210923840121,20171-40000-02,40000,2017,1,Winter,02
A116953337612,20164-30000-04,30000,2016,4,Autumn,04
A116953337612,20164-33001-07,33001,2016,4,Autumn,07
A116953337612,20164-38001-02,38001,2016,4,Autumn,02
A116953337612,20171-34110-01,34110,2017,1,Winter,01
A116953337612,20171-37000-01,37000,2017,1,Winter,01
A116953337612,20171-39001-01,39001,2017,1,Winter,01
A116953337612,20171-41000-85,41000,2017,1,Winter,85
A1211063168644,20164-30000-05,30000,2016,4,Autumn,05
A1211063168644,20164-33001-02,33001,2016,4,Autumn,02
A1211063168644,20164-37000-01,37000,2016,4,Autumn,01
A1211063168644,20164-41000-01,41000,2016,4,Autumn,01
A1211063168644,20171-35000-01,35000,2017,1,Winter,01
A1211063168644,20171-38002-01,38002,2017,1,Winter,01
A1211063168644,20171-42001-02,42001,2017,1,Winter,02
A124603984192,20164-30000-08,30000,2016,4,Autumn,08
A124603984192,20164-33001-01,33001,2016,4,Autumn,01
A124603984192,20164-34705-01,34705,2016,4,Autumn,01
A124603984192,20171-35000-01,35000,2017,1,Winter,01
A124603984192,20171-37000-02,37000,2017,1,Winter,02
